Clase,FPR,TPR,Threshold
0,0.0,0.0,inf
0,0.0,0.027777777777777776,0.9999999899320361
0,0.0,1.0,0.44456957182398416
0,1.0,1.0,1.3876384511598328e-22
1,0.0,0.0,inf
1,0.0,0.027777777777777776,0.9999992239363183
1,0.0,0.6388888888888888,0.9974727347274449
1,0.0030864197530864196,0.6388888888888888,0.9972243653115016
1,0.0030864197530864196,0.8333333333333334,0.9371712827268223
1,0.006172839506172839,0.8333333333333334,0.9166371177496231
1,0.006172839506172839,0.8611111111111112,0.8821027683473657
1,0.012345679012345678,0.8611111111111112,0.7111510523900386
1,0.012345679012345678,0.9444444444444444,0.3794862312050074
1,0.018518518518518517,0.9444444444444444,0.11807470365910674
1,0.018518518518518517,0.9722222222222222,0.049114269716968376
1,0.021604938271604937,0.9722222222222222,0.04582987107172804
1,0.021604938271604937,1.0,0.041420241798540494
1,1.0,1.0,6.065390872186109e-22
2,0.0,0.0,inf
2,0.0,0.02857142857142857,0.999999999886438
2,0.0,1.0,0.953547260637275
2,1.0,1.0,3.567010674960675e-23
3,0.0,0.0,inf
3,0.0,0.02702702702702703,0.999999999938407
3,0.0,1.0,0.7147989524215798
3,1.0,1.0,1.0399566037831256e-26
4,0.0,0.0,inf
4,0.0,0.027777777777777776,0.9999999999274776
4,0.0,0.9444444444444444,0.990854710816805
4,0.0030864197530864196,0.9444444444444444,0.976557228476601
4,0.0030864197530864196,1.0,0.947841999970001
4,1.0,1.0,1.3820397975043618e-25
5,0.0,0.0,inf
5,0.0,0.02702702702702703,0.9999999999831333
5,0.0,0.9459459459459459,0.9625435086659956
5,0.0030959752321981426,0.9459459459459459,0.9161667357258523
5,0.0030959752321981426,1.0,0.3550929776330114
5,1.0,1.0,5.086328759133574e-24
6,0.0,0.0,inf
6,0.0,0.027777777777777776,0.9999999019712092
6,0.0,0.9722222222222222,0.9472992091249041
6,0.037037037037037035,0.9722222222222222,0.0017383967583478655
6,0.037037037037037035,1.0,0.001663799706856908
6,1.0,1.0,1.290848286432447e-22
7,0.0,0.0,inf
7,0.0,0.027777777777777776,0.9999999976612011
7,0.0,0.9722222222222222,0.9036260571495753
7,0.015432098765432098,0.9722222222222222,0.03868757673287733
7,0.015432098765432098,1.0,0.022479823328862676
7,1.0,1.0,6.78022150147323e-20
8,0.0,0.0,inf
8,0.0,0.02857142857142857,0.9999996710081503
8,0.0,0.6857142857142857,0.9902030779241636
8,0.003076923076923077,0.6857142857142857,0.9830956037337997
8,0.003076923076923077,0.7428571428571429,0.9521860445365135
8,0.009230769230769232,0.7428571428571429,0.9377451719321168
8,0.009230769230769232,0.8571428571428571,0.6937671479585774
8,0.015384615384615385,0.8571428571428571,0.5441608999323941
8,0.015384615384615385,0.8857142857142857,0.2541844762864872
8,0.018461538461538463,0.8857142857142857,0.18263305919080428
8,0.018461538461538463,0.9428571428571428,0.0832193732989824
8,0.021538461538461538,0.9428571428571428,0.06570745287075982
8,0.021538461538461538,0.9714285714285714,0.061555715145201945
8,0.07076923076923076,0.9714285714285714,0.001628520339576629
8,0.07076923076923076,1.0,0.0016176366524039154
8,1.0,1.0,2.1203159907117938e-19
9,0.0,0.0,inf
9,0.0,0.027777777777777776,0.9999999811585757
9,0.0,0.9444444444444444,0.744472929533421
9,0.009259259259259259,0.9444444444444444,0.22206209009267097
9,0.009259259259259259,1.0,0.12271652430810524
9,1.0,1.0,1.4023957499216609e-25
